你	nǐ<br /><br /><br />du
点	diǎn<br /><br /><br />der Punkt / die Uhr / der Zeitpunkt / ZEW für Vorschläge
差	chà<br /><br /><br />fehlen
差五分(钟)七点。	chà wǔ fēn (zhōng) qī diǎn<br /><br /><br />Es ist 5 vor 7 Uhr (&quot;Es fehlen 5 Minuten auf 7 Uhr&quot;).
钟	zhōng<br /><br /><br />die Uhr
分钟	fēn zhōng<br /><br /><br />die Minute
刻	kè<br /><br /><br />die Viertelstunde
一刻	yī kè<br /><br /><br />Viertel nach / + 15 Minuten
三刻	sān kè<br /><br /><br />+ 45 Minuten
半	bàn<br /><br /><br />halb / die Hälfte / zur Hälfte
现在六点。	xiànzài liù diǎn<br /><br /><br />Es ist 6 Uhr.
现在六点一刻。	xiànzài liùdiǎn yīkè<br /><br /><br />Es ist 6.15 Uhr.
六点三刻	liùdiǎn sǎnkè<br /><br /><br />6.45 Uhr
六点半	liùdiǎn bàn<br /><br /><br />halb 7 Uhr
差不多	chàbùduō<br /><br /><br />ungefähr
梨	lí<br /><br /><br />die Birne
我们分一个梨。	wǒmen fēn yīgè lí<br /><br /><br />Wir teilen eine Birne.
分离	fēn lí<br /><br /><br />sich trennen / scheiden
钟	zhōng<br /><br /><br />Wanduhr
终	zhōng<br /><br /><br />das Ende
送终	sòng zhōng<br /><br /><br />jemandem die letzte Ehre erweisen<br /><br />Aussprache ident mit 送钟 weshalb man keine Wanduhr schenken sollte ...
手表	shǒu biǎo<br /><br /><br />die Armbanduhr
时候	shí hou <br /><br /><br />der Moment / der Zeitpunkt
什么时候	shénme shíhou<br /><br /><br />Wann?<br />irgendwann / irgendwann mal
你什么时候去中国？	nǐ shénme shíhou qù zhōngguó<br /><br /><br />Wann fahrst du nach China?
今天几月几号？	jīntiān jǐyuè jǐhào<br /><br /><br />Welcher Tag ist heute? (Datum)
几月	jǐ yuè<br /><br /><br />Welcher Monat?
一月	yī yuè<br /><br /><br />Jänner
六月	liù yuè<br /><br /><br />Juni
五个月	wǔgè yuè<br /><br /><br />5 Monate
你去哪儿？	nǐ qù nǎr<br /><br /><br />Wohin gehst du?
今天是二〇一二年三月二十六号。	jīntiān shì èrlíngyīèrniàn sānyuè èrshíliùhào<br /><br /><br />Heute ist der 26. 3. 2012.
今年	jīn nián<br /><br /><br />dieses Jahr / heuer
去年	qù nián<br /><br /><br />letztes Jahr / vergangenes Jahr
明年	míng nián<br /><br /><br />nächstes Jahr
时间	shí jiān<br /><br /><br />die Zeit
有时间	yǒu shíjiān<br /><br /><br />Zeit haben
我有很多时间。	wǒ yǒu hěn duō shí jiān<br /><br /><br />Ich habe viel Zeit.
太多了	tài duō le<br /><br /><br />zu viel
有时候	yǒu shíhou<br /><br /><br />manchmal
我有时候 ..., 有时候 ... 。	wǒ yǒushíhou ..., yǒushíhou ... .<br /><br /><br />Ich mache manchmal ..., manchmal ... .
银	yín<br /><br /><br />das Silber
行	háng<br /><br /><br />die Reihe / die Branche
银行	yínháng<br /><br /><br />die Bank / das Geldinstitut
每	měi<br /><br /><br />je / jeder / per / pro
每年	měi nián<br /><br /><br />jedes Jahr
每个月	měi gè yuè<br /><br /><br />jeden Monat
星	xīng<br /><br /><br />der Stern
期	qī<br /><br /><br />die Periode / die Dauer / die Nummer von Zeitschriften o. Ä.
星期	xīngqī<br /><br /><br />die Woche
学期	xuéqī<br /><br /><br />das Semester
每天	měi tiān<br /><br /><br />jeden Tag
小时	xiǎoshí<br /><br /><br />die Stunde
每个小时	měigè xiǎoshí<br /><br /><br />jede Stunde
常	cháng<br /><br /><br />oft / häufig / ständig
常常	chángcháng<br /><br /><br />öfters / häufig / normalerweise
考	kǎo<br /><br /><br />prüfen
试 	shì<br /><br /><br />versuchen / probieren
考试	kǎoshì<br /><br /><br />die Prüfung / prüfen
我有一门考试。	wǒ yǒu yīmén kǎoshì<br /><br /><br />Ich habe eine Prüfung.
今天几月几号？	jīntiān jǐyuè jǐhào<br /><br /><br />Welches Datum ist heute?
四月二十三号。	sìyuè èrshísānhào<br /><br /><br />Heute ist der 23. 4.
现在几点？	xiànzài jǐdiǎn<br /><br /><br />Wie spät ist es jetzt?
今天星期几？	jīntiān xīngqī jǐ<br /><br /><br />Welchen Wochentag haben wir heute?
星期一	xīngqī yī<br /><br /><br />Montag
星期二	xīngqī èr<br /><br /><br />Dienstag
星期天	xīngqī tiān<br /><br /><br />Sonntag
星期日	xīngqī rì<br /><br /><br />Sonntag
两点	liǎngdiǎn<br /><br /><br />2 Uhr
还是	háishì<br /><br /><br />oder (bei Alternativ-Fragen)
回	huí<br /><br /><br />zurückkehren
家	jiā<br /><br /><br />die Familie / das Heim
回家	huí jiā<br /><br /><br />heimkehren / heimkommen / die Heimkehr
我回国。	wǒ huí guó<br /><br /><br />Ich kehre in mein Heimatland zurück.
课	kè<br /><br /><br />der Unterricht / die Lektion / der Kurs
上课	shàngkè<br /><br /><br />Unterricht haben / am Unterricht teilnehmen / Unterricht geben
下课	xiàkè<br /><br /><br />den Unterricht beenden
遍	biàn<br /><br /><br />...mal / ZEW für Handlungen
一遍	yī biàn<br /><br /><br />ein Mal / einmal
请在说一遍。	qǐng zài shuō yī biàn<br /><br /><br />Bitte sagen Sie noch einmal.
慢	màn<br /><br /><br />langsam
情说慢点儿。	qǐng shuō màndiǎr<br /><br /><br />Bitte sprechen Sie ein bisschen langsamer.
会	huì<br /><br /><br />können (Fähigkeit)
我会写汉字。	wǒ huì xiě hànzì<br /><br /><br />Ich kann chinesische Schriftzeichen schreiben.
你会不会写汉字？	nǐ huì bù huì xiě hànzì<br /><br /><br />Kannst du chinesische Schriftzeichen schreiben?
可是	kěshì<br /><br /><br />aber / jedoch
但是	dànshì<br /><br /><br />aber / dennoch
筷子	kuàizi<br /><br /><br />das Essstäbchen
我会用筷子吃饭。	wǒ huì yòng kuàizi chīfàn<br /><br /><br />Ich kann mit Essstäbchen essen.
叉	chā<br /><br /><br />Gabel
刀叉	dāochā<br /><br /><br />das Besteck / Messer und Gabel
件	jiàn<br /><br /><br />ZEW für Kleidungsstücke
衬衫	chènshān<br /><br /><br />die Bluse / das Hemd
两件衬衫	liǎng jiàn chènshān<br /><br /><br />2 Hemden / 2 Blusen
裤子	kùzi<br /><br /><br />die Hose
条	tiáo<br /><br /><br />ZEW für schmale und lange Kleidungsstücke / Gegenstände
一条裤子	yītiáo kùzi<br /><br /><br />1 Hose
裙子	qúnzi<br /><br /><br />der Rock
一条裙子	yītiáo qúnzi<br /><br /><br />1 Rock
迷你裙	mínǐqún<br /><br /><br />der Minirock
牛仔	niúzǎi<br /><br /><br />der Cowboy
牛仔裤	niúzǎikù<br /><br /><br />die Jeans
商	shāng<br /><br /><br />der Handel / der Händler
店	diàn<br /><br /><br />das Geschäft / der Laden
商店	shāngdiàn<br /><br /><br />das Geschäft / der Laden
酒吧	jiǔbā<br /><br /><br />die Bar / die Kneipe (phonetisch)
我在酒吧工作。	wǒ zài jiǔbā gōngzuò<br /><br /><br />Ich arbeite in einer Bar.
我什么都不买。	wǒ shénmedōu bù mǎi<br /><br /><br />Ich kaufe gar nichts.
我什么都不吃。	wǒ shénmedōu bù chī<br /><br /><br />Ich esse gar nichts.
我什么都吃。	wǒ shénmedōu chī<br /><br /><br />Ich esse alles.
只	zhǐ<br /><br /><br />nur (immer vor dem Verb)
只	zhī<br /><br /><br />ZEW für Tiere
一只鸟	yīzhī niǎo<br /><br /><br />1 Vogel
两只老虎	liǎngzhī lǎohǔ<br /><br /><br />2 Tiger
售	shòu<br /><br /><br />verkaufen (gehobener als 卖)
货	huò<br /><br /><br />die Ware
员	yuán<br /><br /><br />der Angestellte
售货员	shòuhuòyuán<br /><br /><br />der Verkäufer
顾客	gùkè<br /><br /><br />der Kunde
迎	yíng<br /><br /><br />entgegenkommen
欢迎	huānyíng<br /><br /><br />grüßen / willkommen heißen / Willkommen!
光	guāng<br /><br /><br />die Ehre / der Glanz / das Licht
光临	guānglín<br /><br /><br />der Besuch / die Kundschaft
欢迎光临。	huānyíng guānglín<br /><br /><br />Herzlich willkommen! (Begrüssung in Geschäftern)
开门	kāimén<br /><br /><br />öffnen / die Tür öffnen
关门	guānmén<br /><br /><br />schließen
开关	kāiguān<br /><br /><br />der Schalter
折	zhé<br /><br /><br />falten (Papier)
打折	dǎzhé<br /><br /><br />Rabatt geben
有没有打折？	yǒu méi yǒu dǎzhé<br /><br /><br />Gibt es Rabatt?
打几折？	dǎ jǐ zhé<br /><br /><br />Wieviel Rabatt gibt es?
打七折	dǎ qī zhé<br /><br /><br />-30% (7 von 10 zu zahlen)
板	bǎn<br /><br /><br />das Brett
老板	lǎobǎn<br /><br /><br />der Chef
已经	yǐjīng<br /><br /><br />bereits / schon
可以	kěyǐ<br /><br /><br />dürfen / die Erlaubnis haben / können
我可以试一试吗？	wǒ kěyǐ shìyīshì ma<br /><br /><br />Darf ich mal probieren?
这条裤子为什么这么贵？	zhètiáo kùzi wèishénme zhème guì<br /><br /><br />Warum ist diese Hose so teuer?
牌	pái<br /><br /><br />die Marke
名牌	míngpái<br /><br /><br />bekannte Marke
片	piàn<br /><br /><br />die Scheibe / ZEW für scheibenförmige Gegenstände
牌子	páizi<br /><br /><br />das Schild / die Marke
能	néng<br /><br /><br />können
能不能在便宜一点儿？	néngbùnéng zài piányi yīdiǎr<br /><br /><br />Können Sie das noch etwas billiger machen?
已经很便宜了。	yǐjīng hěn piányi le<br /><br /><br />Es ist bereits sehr billig.
吧	ba<br /><br /><br />Finalpartikel bei Aufforderungen oder Vermutungen
好吧	hǎobā<br /><br /><br />Tja!
下(个)星期	xià gè xīngqī<br /><br /><br />nächste Woche
上(个)星期	shànggè xīngqī<br /><br /><br />letzte Woche
这个星期	zhègè xīngqī<br /><br /><br />diese Woche
忘	wàng<br /><br /><br />vergessen
我忘了。	wǒ wàng le<br /><br /><br />Ich habe alles vergessen.
你下个星期有几门考试？	nǐ xiàgè xīngqī yǒu jǐmén kǎoshì<br /><br /><br />Wieviele Prüfungen hast du nächste Woche?
给	gěi<br /><br /><br />an / für / zu (Präposition)<br />geben
打电话	dǎ diànhuà<br /><br /><br />telefonieren / anrufen
我给你打电话。	wǒ gěi nǐ dǎ diànhuà<br /><br /><br />Ich rufe dich an.
住在	zhùzài<br /><br /><br />wohnen in / leben in
你住在哪儿？	nǐ zhùzài nǎr <br /><br /><br />Wo wohnst du?
友好	yǒuhǎo<br /><br /><br />freundlich / gastfreundlich
新	xīn<br /><br /><br />neu / frisch
闻	wén<br /><br /><br />hören
新闻	xīnwén<br /><br /><br />Nachrichten / Neuigkeiten
口语	kǒuyǔ<br /><br /><br />gesprochene Sprache / Umgangssprache
语法	yǔfǎ<br /><br /><br />die Grammatik
路	lù<br /><br /><br />der Weg / die Strasse
街	jiē<br /><br /><br />(breite) Strasse
街道	jiēdào<br /><br /><br />Straße / Weg
光碟	guāngdié<br /><br /><br />die DVD
碟	dié<br /><br /><br />die Platte / der Teller
盘	pán<br /><br /><br />die Platte / der Teller
光盘	guāngpán<br /><br /><br />die CD
张	zhāng<br /><br /><br />ZEW für dünne flache Gegenstände
花	huā<br /><br /><br />die Blume / blühen
花钱	huāqián<br /><br /><br />Geld ausgeben
花时间	huā shíjiān<br /><br /><br />Zeit verbringen
帅	shuài<br /><br /><br />gutaussehend / fesch (Männer)
当然	dāngrán<br /><br /><br />natürlich / selbstverständlich / sicherlich
丝绸	sīchóu<br /><br /><br />die Seide / der Seidenstoff
... 用中文怎么说？	... yòng zhōngwén zěnme shuō<br /><br /><br />Wie sagt man ... auf Chinesisch?
作业	zuòyè<br /><br /><br />Übung / Hausübung / Aufgabe
做作业	zuò zuòyè<br /><br /><br />Hausübung machen
交作业	jiāo zuòyè<br /><br /><br />Hausübung abgeben
交	jiāo<br /><br /><br />abgeben / bezahlen / aushändigen
公	gōng<br /><br /><br />öffentlich / fair / männlich (bei Tieren)<br />alter Mann
斤	jīn<br /><br /><br />das Pfund / halbes Kilo
公斤	gōngjīn<br /><br /><br />das Kilogramm
食	shí<br /><br /><br />Getreide / Nahrung / Lebensmittel / essen / speisen
堂	táng<br /><br /><br />Saal
食堂	shítáng<br /><br /><br />die Mensa / die Kantine
好吃。	hǎochī<br /><br /><br />Schmeckt gut. / gut schmecken
好看	hǎokàn<br /><br /><br />gutaussehend
火车	huǒchē<br /><br /><br />die Eisenbahn / der Zug
坐火车	zuò huǒchē<br /><br /><br />mit dem Zug fahren
坐车	zuòchē<br /><br /><br />mit dem Auto fahren
你家有几口人？	nǐ jiā yǒu jǐkǒu rén<br /><br /><br />Wieviele Familienmitglieder hast du (im Haushalt)?
哥哥	gēge<br /><br /><br />älterer Bruder
兄	xiōng<br /><br /><br />älterer Bruder
弟弟	dìdi<br /><br /><br />jüngerer Bruder
姐姐	jiějie<br /><br /><br />ältere Schwester
妹妹	mèimei<br /><br /><br />jüngere Schwester
兄弟姐妹	xiōng dì jiě mèi<br /><br /><br />Geschwister
孩子	háizi<br /><br /><br />das Kind
女孩子	nǚháizi<br /><br /><br />das Mädchen
女孩儿	nǚhár<br /><br /><br />das Mädchen
男孩子	nánháizi<br /><br /><br />der Bub
男孩儿	nánhár<br /><br /><br />der Bub
想要	xiǎngyào<br /><br /><br />möchten / mögen
我想要两个孩子。	wǒ xiǎngyào liǎnggè háizi<br /><br /><br />Ich möchte 2 Kinder haben.
奶奶	nǎinai<br /><br /><br />die Grossmutter väterlicherseits
爷爷	yéye<br /><br /><br />der Grossvater väterlicherseits
牛奶	niúnǎi<br /><br /><br />die Milch (von der Kuh)
婆	pó<br /><br /><br />alte Frau
外婆	wàipó<br /><br /><br />die Grossmutter mütterlicherseits
外公	wàigōng<br /><br /><br />der Grossvater mütterlicherseits
姥姥	lǎolǎo<br /><br /><br />die Grossmutter mütterlicherseits (in Nord-China)
老婆	lǎopó<br /><br /><br />die Ehefrau (umgangssprachlich; &quot;die Alte&quot;)
老公	lǎogōng<br /><br /><br />der Ehemann (umgangssprachlich; &quot;der Alte&quot;)
怕老婆	pà lǎopó<br /><br /><br />der Pantoffelheld / ein Pantoffelheld sein
怕	pà<br /><br /><br />Angst haben / fürchten / befürchten
我谁都不怕。	wǒ shéidōubù pà<br /><br /><br />Ich habe vor gar niemandem Angst.
蜘蛛	zhīzhū<br /><br /><br />die Spinne
有的	yǒude<br /><br /><br />manche / einige
先生	xiānsheng<br /><br /><br />der Herr (Anrede immer hinter dem Namen)
上学	shàngxué<br /><br /><br />zur Schule gehen
专业	zhuānyè<br /><br /><br />die Studienrichtung / die Fachrichtung
跟(和)	gēn(hé)<br /><br /><br />mit (jemandem)
过	guò<br /><br /><br />verbringen / haben
生日	shēngrì<br /><br /><br />der Geburtstag
过生日	guò shēngrì<br /><br /><br />Geburtstag haben / Geburtstag verbringen
你什么时候过生日？	nǐ shénme shíhou guò shēngrì<br /><br /><br />Wann hast du Geburtstag?
你几月几号过生日？	nǐ jǐyuè jǐhào guò shēngrì<br /><br /><br />Wann hast du Geburtstag?
我请我朋友(去)吃饭。	wǒ qǐng wǒpéngyou qù chīfàn<br /><br /><br />Ich lade meine Freunde zum Essen (gehen) ein.
物	wù<br /><br /><br />der Gegenstand / das Ding / die Sache
礼	lǐ<br /><br /><br />höflich
礼物	lǐwù<br /><br /><br />das Geschenk
他送给你什么礼物？	tā sòng gěi nǐ shénme lǐwù<br /><br /><br />Was schenkt er dir?
他送给了你什么礼物？	tā sòng gěi le nǐ shénme lǐwù<br /><br /><br />Was hat er dir geschenkt?
祝	zhù<br /><br /><br />wünschen
快	kuài<br /><br /><br />schnell
乐	lè<br /><br /><br />die Freude
快乐	kuàilè<br /><br /><br />die Freude / fröhlich / glücklich
祝你生日快乐！	zhù nǐ shēngrì kuàilè<br /><br /><br />Alles Gute zum Geburtstag!
蛋	dàn<br /><br /><br />das Ei
糕	gāo<br /><br /><br />Kuchen
蛋糕	dàngāo<br /><br /><br />der Kuchen / die Torte
生日蛋糕	shēngrì dàngāo<br /><br /><br />die Geburtstagstorte
客人	kèrén<br /><br /><br />der Gast / der Besuch
请客人	qǐng kèrén<br /><br /><br />Gäste einladen
请客	qǐngkè<br /><br /><br />einladen / bezahlen
还可以	hái kěyǐ<br /><br /><br />Es geht. / Geht noch. / einigermassen / so lala
网吧	wǎngbā<br /><br /><br />das Internetcafé
公司	gōngsī<br /><br /><br />die Firma
我在一个公司工作。	wǒ zài yīgè gōngsī gōngzuò<br /><br /><br />Ich arbeite in einer Firma.
西门子	xīménzǐ<br /><br /><br />Siemens
我在西门子公司工作。	wǒ zài xīménzǐ gōngsī gōngzuò<br /><br /><br />Ich arbeite bei der Firma Siemens.
我明年在西门子公司工作六个月。	wǒ míngnián zài xīménzǐ gōngsī gōngzuò liùgèyuè<br /><br /><br />Ich arbeite nächstes Jahr für 6 Monate bei der Firma Siemens.
长	cháng<br /><br /><br />lang / stetig
多长时间？	duō cháng shíjiān<br /><br /><br />Wie lange? (Zeitdauer)
赛	sài<br /><br /><br />der Wettbewerb / der Wettkampf
足球赛	zúqiúsài<br /><br /><br />das Fussballspiel
欧洲杯	ōuzhōubēi<br /><br /><br />der Europa-Cup / die Europa-Meisterschaft
欧洲杯足球赛	ōuzhōubēi zúqiúsài<br /><br /><br />die Fussball-Europa-Meisterschaft
班	bān<br /><br /><br />die Klasse / die Gruppe
西班牙	xībānyá<br /><br /><br />Spanien
队	duì<br /><br /><br />die Mannschaft / das Team
意大利队对西班牙队	yìdàlìduì duì xībānyáduì<br /><br /><br />Italien gegen Spanien (Mannschaften)
比	bǐ<br /><br /><br />im Vergleich zu   (besser/grösser/weiter/etc. immer zuerst)<br />vergleichen<br />der Vergleich / das Verhältnis
中国比德国大。	zhōngguó bǐ déguó dà<br /><br /><br />China ist grösser als Deutschland.
我比他好。	wǒ bǐ tā hǎo<br /><br /><br />Ich bin besser als er.
几比几？	jǐ bǐ jǐ<br /><br /><br />Wieviel zu wieviel? (Spielstand bei Match)
一比一。	yī bǐ yī<br /><br /><br />1 zu 1 (Spielstand bei Match)
...属	shǔ<br /><br /><br />zu ... gehörend (Staaten, Völker, Tierkreiszeichen, etc.)
你属什么？	nǐ shǔ shénme<br /><br /><br />In welchem Tierkreiszeichen bzw. Jahr bist du geboren?
羊	yáng<br /><br /><br />das Schaf / die Ziege
狗	gǒu<br /><br /><br />der Hund
龙	lóng<br /><br /><br />der Drache
别人	biérén<br /><br /><br />Leute / die Anderen / der Andere
笔	bǐ<br /><br /><br />der Stift
毛笔	máobǐ<br /><br /><br />der Pinsel
书包	shūbāo<br /><br /><br />die Mappe / die Schultasche
工具	gōngjù<br /><br /><br />das Werkzeug / das Gerät / das Instrument
言	yán<br /><br /><br />das Wort
语言	yǔyán<br /><br /><br />Oberbegriff für Sprache
听	tīng<br /><br /><br />hören / zuhören
听说	tīngshuō<br /><br /><br />vom Hörensagen wissen / etwas gesagt bekommen
第	dì<br /><br /><br />Partikel zur Bildung von Ordinalzahlen
第一	dì yī<br /><br /><br />der Erste
空	kōng<br /><br /><br />leer
太空	tàikōng<br /><br /><br />das All / das Weltall / der Weltraum
太空人	tàikōngrén<br /><br /><br />der Taikonaut
呆	dāi<br /><br /><br />dumm / idiotisch
待	dāi<br /><br /><br />bleiben / sich aufhalten
非	fēi<br /><br /><br />nicht / nicht sein
非常	fēicháng<br /><br /><br />äußerst / außergewöhnlich
下三个星期	xià sāngè xīngqī<br /><br /><br />die nächsten 3 Wochen
级	jí<br /><br /><br />die Stufe
一年级	yī nián jí<br /><br /><br />die 1. Klasse / das 1. Semester (auf der Uni)
上三年级	shàng sān nián jí<br /><br /><br />die 3. Klasse besuchen
科学	kēxué<br /><br /><br />die Wissenschaft / wissenschaftlich
科学技术	kēxué jìshù<br /><br /><br />technische Wissenschaften
科技	kējì<br /><br /><br />technische Wissenschaften
文科	wénkē<br /><br /><br />Geisteswissenschaften
理科	lǐkē<br /><br /><br />Naturwissenschaften
工科	gōngkē<br /><br /><br />Ingenieurswissenschaften
数	shù<br /><br /><br />die Zahl / die Ziffer
数学	shùxué<br /><br /><br />die Mathematik
化	huà<br /><br /><br />umwandeln / verwandeln
化学	huàxué<br /><br /><br />die Chemie
理	lǐ<br /><br /><br />die Ordnung / die Logik / die Vernunft
物理	wùlǐ<br /><br /><br />die Physik
数理化	shùlǐhuà<br /><br /><br />Mathematik, Physik und Chemie
真	zhēn<br /><br /><br />echt / wirklich
小姐	xiǎojiě<br /><br /><br />Fräulein
过奖	guòjiǎng<br /><br /><br />übertriebenes Lob
您过奖了！	nín guòjiǎng le<br /><br /><br />Sie übertreiben! (Zurückweisung auf ein Kompliment)
到	dào<br /><br /><br />ankommen / eintreffen
从...到...	cóng ... dào ...<br /><br /><br />von ... bis ... (Zeit / Ort)
看到	kàndào<br /><br /><br />etwas erblicken / sehen
学到	xuédào<br /><br /><br />erlernen / gelernt haben
共	gòng<br /><br /><br />allgemein / gemeinsam / zusammen
一共	yīgòng<br /><br /><br />insgesamt / unterm Strich
一共多少钱？	yīgòng duōshǎo qián<br /><br /><br />Was kostet es insgesamt?
父	fù<br /><br /><br />der Vater
母	mǔ<br /><br /><br />die Mutter
亲	qīn<br /><br /><br />blutsverwandt / persönlich / intim
父母(亲)	fù mǔ (qīn)<br /><br /><br />die Eltern
派对	pàiduì<br /><br /><br />die Party
价格	jiàgé<br /><br /><br />der Preis
笨	bèn<br /><br /><br />dumm / einfältig / trottelig
笨蛋	bèndàn<br /><br /><br />dummes Ei / Dummkopf / Blödian / Depp
正	zhèng<br /><br /><br />gerade / aufrecht / eben <br />vollständig / gerecht / richtig<br /><br /><br />5 Striche bei Stricherlliste<br /><br />
正好	zhènghǎo<br /><br /><br />genau richtig
